Kode Wilayah,Kabupaten,IDE Kapanewan,KAPANEWON,ID Kelurahan,KALURAHAN/KELURAHAN,RT,RW,Luas Wilayah,Jumlah Penduduk
34.04.09.2006,SLEMAN,9,PRAMBANAN,6,BOKOHARJO,78,30,5.4,12359
34.04.10.2001,SLEMAN,10,KALASAN,1,PURWOMARTANI,209,57,12.05,35972
34.04.10.2002,SLEMAN,10,KALASAN,2,TIRTOMARTANI,117,39,7.54,17711
34.04.10.2003,SLEMAN,10,KALASAN,3,TAMANMARTANI,127,47,7.3,16525
34.04.10.2004,SLEMAN,10,KALASAN,4,SELOMARTANI,102,45,8.95,13120
34.04.11.2001,SLEMAN,11,NGEMPLAK,1,SINDUMARTANI,60,23,6.66,8000
34.04.11.2002,SLEMAN,11,NGEMPLAK,2,BIMOMARTANI,61,27,4.44,7655
34.04.11.2003,SLEMAN,11,NGEMPLAK,3,WIDODOMARTANI,75,33,6.02,8415
34.04.11.2004,SLEMAN,11,NGEMPLAK,4,WEDOMARTANI,187,74,12.44,29429
34.04.11.2005,SLEMAN,11,NGEMPLAK,5,UMBULMARTANI,75,32,6.15,9365
34.04.12.2001,SLEMAN,12,NGAGLIK,1,SARIHARJO,111,39,6.89,21438
34.04.12.2002,SLEMAN,12,NGAGLIK,2,MINOMARTANI,67,18,1.53,12557
34.04.12.2003,SLEMAN,12,NGAGLIK,3,SINDUHARJO,106,42,6.09,19012
34.04.12.2004,SLEMAN,12,NGAGLIK,4,SUKOHARJO,105,36,8.57,15478
34.04.12.2005,SLEMAN,12,NGAGLIK,5,SARDONOHARJO,110,46,9.38,20341
34.04.12.2006,SLEMAN,12,NGAGLIK,6,DONOHARJO,77,35,6.06,9699
34.04.13.2001,SLEMAN,13,SLEMAN,1,CATURHARJO,109,49,7.44,14962
34.04.13.2002,SLEMAN,13,SLEMAN,2,TRIHARJO,111,43,5.78,18187
34.04.13.2003,SLEMAN,13,SLEMAN,3,TRIDADI,69,40,5.04,14990
34.04.13.2004,SLEMAN,13,SLEMAN,4,PANDOWOHARJO,102,47,7.27,12261
34.04.13.2005,SLEMAN,13,SLEMAN,5,TRIMULYO,68,30,5.79,9655
34.04.14.2001,SLEMAN,14,TEMPEL,1,BANYUREJO,71,29,4.82,7655
34.04.14.2002,SLEMAN,14,TEMPEL,2,TAMBAKREJO,52,22,3.26,5212
34.04.14.2003,SLEMAN,14,TEMPEL,3,SUMBERREJO,45,22,2.92,4671
34.04.14.2004,SLEMAN,14,TEMPEL,4,PONDOKREJO,67,20,3.27,6385
34.04.14.2005,SLEMAN,14,TEMPEL,5,MOROREJO,79,26,3.37,5277
34.04.14.2006,SLEMAN,14,TEMPEL,6,MARGOREJO,81,31,5.39,10770
34.04.14.2007,SLEMAN,14,TEMPEL,7,LUMBUNGREJO,56,25,3.33,7732
34.04.14.2008,SLEMAN,14,TEMPEL,8,MERDIKOREJO,68,22,6.13,6639
34.04.15.2001,SLEMAN,15,TURI,1,BANGUNKERTO,67,28,7.03,9281
34.04.15.2002,SLEMAN,15,TURI,2,DONOKERTO,75,34,7.41,9249
34.04.15.2003,SLEMAN,15,TURI,3,GIRIKERTO,50,19,13.07,8318
34.04.15.2004,SLEMAN,15,TURI,4,WONOKERTO,64,29,15.58,10502
34.04.16.2001,SLEMAN,16,PAKEM,1,PURWOBINANGUN,76,36,13.48,9432
34.04.16.2002,SLEMAN,16,PAKEM,2,CANDIBINANGUN,53,26,6.36,6592
34.04.16.2003,SLEMAN,16,PAKEM,3,HARJOBINANGUN,53,24,5.52,6202
34.04.16.2004,SLEMAN,16,PAKEM,4,PAKEMBINANGUN,47,0,4.18,6620
34.04.16.2005,SLEMAN,16,PAKEM,5,HARGOBINANGUN,63,28,14.3,8912
34.04.17.2001,SLEMAN,17,CANGKRINGAN,1,ARGOMULYO,91,44,8.47,7898
34.04.17.2002,SLEMAN,17,CANGKRINGAN,2,WUKIRSARI,100,50,14.56,10842
34.04.17.2003,SLEMAN,17,CANGKRINGAN,3,GLAGAHARJO,41,20,7.95,4080
34.04.17.2004,SLEMAN,17,CANGKRINGAN,4,KEPUHARJO,32,16,8.75,3489
34.04.17.2005,SLEMAN,17,CANGKRINGAN,5,UMBULHARJO,40,20,8.26,5332
