namafile,kabkot,kec,desa
bantul-kasihan-ngestiharjo.geojson,bantul,kasihan,ngestiharjo
bantul-kasihan-tamantirto.geojson,bantul,kasihan,tamantirto
bantul-kasihan-tirtonirmolo.geojson,bantul,kasihan,tirtonirmolo
bantul-kretek-donotirto.geojson,bantul,kretek,donotirto
bantul-kretek-parangtritis.geojson,bantul,kretek,parangtritis
bantul-kretek-tirtohargo.geojson,bantul,kretek,tirtohargo
bantul-kretek-tirtomulyo.geojson,bantul,kretek,tirtomulyo
bantul-kretek-tirtosari.geojson,bantul,kretek,tirtosari
bantul-pajangan-guwosari.geojson,bantul,pajangan,guwosari
bantul-pajangan-sendangsari.geojson,bantul,pajangan,sendangsari
bantul-pajangan-triwidadi.geojson,bantul,pajangan,triwidadi
bantul-pandak-catuharjo.geojson,bantul,pandak,catuharjo
bantul-pandak-gilangharjo.geojson,bantul,pandak,gilangharjo
bantul-pandak-triharjo.geojson,bantul,pandak,triharjo
bantul-pandak-wijirejo.geojson,bantul,pandak,wijirejo
bantul-piyungan-sitimulyo.geojson,bantul,piyungan,sitimulyo
bantul-piyungan-srimartani.geojson,bantul,piyungan,srimartani
bantul-piyungan-srimulyo.geojson,bantul,piyungan,srimulyo
bantul-pleret-bawuran.geojson,bantul,pleret,bawuran
bantul-pleret-pleret.geojson,bantul,pleret,pleret
bantul-pleret-segoroyoso.geojson,bantul,pleret,segoroyoso
bantul-pleret-wonokromo.geojson,bantul,pleret,wonokromo
bantul-pleret-wonolelo.geojson,bantul,pleret,wonolelo
bantul-pundong-panjangrejo.geojson,bantul,pundong,panjangrejo
bantul-pundong-seloharjo.geojson,bantul,pundong,seloharjo
bantul-pundong-srihardono.geojson,bantul,pundong,srihardono
bantul-sanden-gadingharjo.geojson,bantul,sanden,gadingharjo
bantul-sanden-gadingsari.geojson,bantul,sanden,gadingsari
bantul-sanden-murtigading.geojson,bantul,sanden,murtigading
bantul-sanden-srigading.geojson,bantul,sanden,srigading
bantul-sedayu-argodadi.geojson,bantul,sedayu,argodadi
bantul-sedayu-argomulyo.geojson,bantul,sedayu,argomulyo
bantul-sedayu-argorejo.geojson,bantul,sedayu,argorejo
bantul-sedayu-argosari.geojson,bantul,sedayu,argosari
bantul-sewon-bangunharjo.geojson,bantul,sewon,bangunharjo
bantul-sewon-panggungharjo.geojson,bantul,sewon,panggungharjo
bantul-sewon-pendowoharjo.geojson,bantul,sewon,pendowoharjo
bantul-sewon-timbulharjo.geojson,bantul,sewon,timbulharjo
bantul-srandakan-poncosari.geojson,bantul,srandakan,poncosari
bantul-srandakan-trimurti.geojson,bantul,srandakan,trimurti
